Model,Dataset,R²,MSE,RMSE,MAE
LinearRegression,Train,0.1590192030403873,282933548468.15985,531914.9823685735,442120.0170528068
LinearRegression,Validation,0.13423408811059656,269422290351.02628,519059.04322247027,424976.0032296278
LinearRegression,Test,0.14715945736689806,274746473713.96378,524162.64051720034,431628.26374286594
Ridge,Train,0.15901908427837952,282933588423.5981,531915.0199266778,442129.11963985686
Ridge,Validation,0.13426975125480922,269411192147.84808,519048.35241800745,424975.09734706866
Ridge,Test,0.14717238310118108,274742309629.66327,524158.66837214783,431642.18959970045
Lasso,Train,0.15901920304038286,282933548468.1614,531914.982368575,442120.01641297137
Lasso,Validation,0.13423409179577095,269422289204.21732,519059.04211777035,424976.0028127545
Lasso,Test,0.14715945446031864,274746474650.33157,524162.6414104038,431628.26597804076
ElasticNet,Train,0.1585794061888247,283081510567.01825,532054.048539261,442730.7630660609
ElasticNet,Validation,0.13592827384155526,268895067699.21414,518550.93067047343,425025.38143107755
ElasticNet,Test,0.14748667238408975,274641059902.55875,524062.0763827113,432507.8283974963
Lars,Train,0.1590192030403873,282933548468.15985,531914.9823685735,442120.01705280674
Lars,Validation,0.13423408811059656,269422290351.02628,519059.04322247027,424976.00322962785
Lars,Test,0.14715945736689817,274746473713.9637,524162.6405172003,431628.2637428658
LassoLars,Train,0.15901920304038242,282933548468.1615,531914.9823685751,442120.0163740925
LassoLars,Validation,0.13423409185516255,269422289185.73492,519059.0420999666,424976.0028337133
LassoLars,Test,0.14715945414711884,274746474751.23035,524162.6415066514,431628.2661015806
OrthogonalMatchingPursuit,Train,0.1168359291690978,297125386623.74774,545092.0900396076,450716.1292052164
OrthogonalMatchingPursuit,Validation,0.10792904241406776,277608297171.13837,526885.4687416786,429589.77121543
OrthogonalMatchingPursuit,Test,0.1174217171771278,284326622457.9903,533222.8637802305,439896.36862772476
BayesianRidge,Train,1.937795701678624e-09,336432828124.94476,580028.299417317,482346.4059851536
BayesianRidge,Validation,-0.00021474522625175574,311262136567.1758,557908.7170560932,463132.6677238622
BayesianRidge,Test,-4.275029591704893e-05,322168336836.70233,567598.7463311581,475627.82152215304
ARDRegression,Train,1.5973220524045928e-09,336432828239.49133,580028.2995160592,482346.4060434128
ARDRegression,Validation,-0.00021474553862543821,311262136664.385,557908.7171432124,463132.6677787976
ARDRegression,Test,-4.2750591104923075e-05,322168336931.79846,567598.7464149286,475627.82157462434
HuberRegressor,Train,0.15361973869110557,284750105533.06866,533619.8136623758,439675.26073409535
HuberRegressor,Validation,0.12767693437520367,271462845832.95547,521020.9648689345,424053.1330899855
