Rank,Model,Train_R2,Train_RMSE,Train_MAE,Train_MSE,Validation_R2,Validation_RMSE,Validation_MAE,Validation_MSE,Test_R2,Test_RMSE,Test_MAE,Test_MSE
1,GradientBoostingRegressor,0.9771,82443.7584,46713.7528,6796973291.2289,0.8513,223886.3544,121602.9165,50125099671.4454,0.9847,65908.5259,47179.6122,4343933788.1773
2,ARDRegression,0.9349,139051.305,67476.3689,19335265432.7465,0.8949,188183.292,102759.5931,35412951395.1521,0.9843,66799.6851,46532.431,4462197929.4188
3,PassiveAggressiveRegressor,0.9358,138002.514,62543.5711,19044693866.0646,0.9035,180377.0152,96728.3874,32535867610.5136,0.9843,66816.9155,48612.2504,4464500202.202
4,HistGradientBoostingRegressor,0.9809,75380.3283,30917.7574,5682193889.8137,0.8852,196720.6676,109458.9325,38699021075.808,0.9828,69991.8782,50317.7425,4898863014.7891
5,HuberRegressor,0.9369,136823.0225,61499.8904,18720539475.1061,0.9051,178833.7626,100084.0196,31981514654.4625,0.9827,70191.7099,53419.9925,4926876138.4382
6,OrthogonalMatchingPursuit,0.9333,140725.5675,68851.9421,19803685338.5619,0.8891,193333.1195,105537.2931,37377695110.8749,0.9825,70450.6414,50253.5654,4963292871.842
7,ExtraTreesRegressor,0.9895,55758.9153,20823.2337,3109056635.6438,0.8935,189425.9726,102009.3539,35882199083.0749,0.9816,72334.5958,51791.1381,5232293755.9276
8,RandomForestRegressor,0.9835,69982.7933,29953.3976,4897591357.6088,0.8909,191805.0867,105662.6895,36789191269.4387,0.9815,72564.1013,53654.205,5265548796.2839
9,SGDRegressor,0.9371,136605.9566,65913.8769,18661187375.0178,0.8936,189343.0522,105699.2257,35850791400.9376,0.9806,74180.3585,55365.247,5502725581.791
10,BayesianRidge,0.9391,134435.6938,63723.5293,18072955754.8754,0.8921,190725.1968,110615.9864,36376100705.5961,0.9802,75012.6248,57777.3339,5626893883.0147
11,Ridge,0.9392,134374.6608,63873.8292,18056549470.0068,0.8907,191955.9614,112236.2966,36847091113.5301,0.9795,76321.477,59084.9146,5824967846.6063
12,Lars,0.9392,134374.6553,63876.1569,18056547980.0487,0.8907,191969.5441,112252.9733,36852305857.1849,0.9795,76335.771,59098.8655,5827149928.1301
13,LassoLars,0.9392,134374.6566,63874.1704,18056548341.6799,0.8907,191966.6014,112244.7989,36851176061.8354,0.9795,76324.1419,59087.0328,5825374635.7056
14,Lasso,0.9392,134374.6553,63876.137,18056547980.0885,0.8907,191969.4974,112252.8744,36852287927.0094,0.9795,76335.6379,59098.7302,5827129613.8137
15,ElasticNet,0.9146,159232.1881,96082.4739,25354889732.7985,0.8398,232352.1964,138908.4969,53987543153.3641,0.9673,96434.685,79226.13,9299648463.1048
16,DecisionTreeRegressor,0.9777,81346.0423,37917.8094,6617178596.7017,0.8555,220709.9257,127596.756,48712871289.4146,0.9666,97423.6641,74695.0639,9491370322.4782
17,TweedieRegressor,0.8884,181983.5042,124634.0596,33117995806.2943,0.8102,252933.5363,167963.6146,63975373764.6631,0.9412,129255.7336,109266.5647,16707044669.5208
18,RANSACRegressor,0.9365,137284.5145,61954.8346,18847037929.7706,0.8998,183796.3357,128942.3066,33781093020.1437,0.9366,134221.6041,120778.1689,18015439000.2917
19,GammaRegressor,0.8597,204098.916,146916.8411,41656367509.0435,0.3681,461519.7049,220992.7175,213000437967.5112,0.9122,157924.0305,129408.7708,24939999408.3751
20,PoissonRegressor,0.8774,190808.3066,127830.4093,36407809857.3936,0.7386,296833.4765,176854.7172,88110112781.6926,0.9006,168047.5616,138718.5509,28239982945.697
21,KNeighborsRegressor,0.9518,119611.0323,61143.9063,14306799053.998,0.7176,308509.1174,202952.6372,95177875515.0382,0.8737,189429.4643,153616.0457,35883521952.5122
22,AdaBoostRegressor,0.9068,166366.3738,134799.8852,27677770342.3325,0.7931,264107.6704,188474.387,69752861556.2107,0.8544,203353.5509,164943.7139,41352666654.0802
23,SVR,-0.0141,548666.192,455086.2302,301034590202.0592,-0.0181,585805.2189,472030.444,343167754516.334,-0.0143,536769.4648,448014.3691,288121458293.482
24,NuSVR,-0.0161,549210.1951,455138.3432,301631838428.7733,-0.0201,586387.5426,471901.7391,343850350125.0296,-0.0163,537291.2978,448022.5963,288681938645.6494
25,KernelRidge,0.9361,137739.2974,73868.6169,18972114053.2296,-1.4974,917483.679,713627.7137,841776301258.8127,-1.97,918492.4622,785693.9985,843628403028.4042
26,LinearSVR,-3.6315,1172549.9259,1038278.7666,1374873328740.8772,-3.2778,1200786.4147,1051107.731,1441888013838.0337,-3.7843,1165750.6963,1036787.4281,1358974686024.9653
