iter	Passed	Remaining
0	67	20325
1	76	11336
2	84	8337
3	92	6834
4	98	5823
5	110	5426
6	118	4966
7	125	4572
8	132	4275
9	139	4056
10	146	3850
11	153	3673
12	159	3523
13	167	3422
14	175	3333
15	180	3201
16	186	3110
17	193	3036
18	203	3009
19	209	2936
20	216	2878
21	223	2818
22	229	2764
23	235	2705
24	241	2651
25	247	2612
26	257	2601
27	265	2578
28	271	2538
29	280	2524
30	288	2503
31	295	2478
32	302	2445
33	310	2429
34	317	2404
35	325	2387
36	333	2367
37	340	2344
38	350	2344
39	360	2340
40	368	2325
41	373	2292
42	379	2267
43	386	2245
44	393	2227
45	399	2203
46	406	2188
47	414	2177
48	422	2162
49	428	2140
50	433	2116
51	440	2099
52	446	2078
53	451	2058
54	458	2041
55	464	2025
56	472	2013
57	479	1999
58	483	1974
59	489	1958
60	494	1939
61	500	1920
62	507	1907
63	513	1892
64	518	1874
65	523	1854
66	529	1839
67	536	1829
68	542	1815
69	549	1805
70	554	1788
71	562	1780
72	567	1765
73	572	1749
74	578	1734
75	583	1719
76	588	1704
77	594	1692
78	601	1683
79	608	1672
80	614	1662
81	619	1647
82	627	1639
83	633	1629
84	641	1623
85	649	1617
86	656	1606
87	662	1595
88	668	1585
89	677	1580
90	683	1569
91	688	1555
92	694	1544
93	700	1534
94	707	1527
95	713	1516
96	720	1507
97	725	1494
98	731	1485
99	737	1475
100	744	1466
101	751	1458
102	756	1445
103	761	1436
104	768	1426
105	776	1420
106	782	1412
107	790	1404
108	796	1396
109	802	1385
110	809	1377
111	816	1369
112	821	1359
113	827	1349
114	832	1339
115	837	1328
116	844	1320
117	848	1309
118	854	1299
119	859	1289
120	867	1283
121	874	1275
122	879	1266
123	887	1259
124	893	1251
125	900	1243
126	908	1238
127	914	1229
128	920	1220
129	927	1212
130	932	1203
131	940	1196
132	946	1188
133	951	1178
134	956	1169
135	962	1160
136	969	1153
137	979	1150
138	986	1143
139	995	1137
140	1002	1130
141	1012	1126
142	1014	1114
143	1020	1105
144	1030	1101
145	1037	1094
146	1043	1085
147	1050	1079
148	1058	1072
149	1068	1068
150	1072	1058
151	1079	1050
152	1085	1042
153	1092	1036
154	1098	1027
155	1105	1020
156	1113	1014
157	1121	1008
158	1130	1002
159	1165	1020
160	1180	1019
161	1188	10121162	1195	10016163	1200	9916164	1208	9816165	1214	9816166	1222	9716167	1229	966
168	1236	9517169	1243	9517170	1248	9417171	1253	9317172	1260	9217173	1270	9217174	1277	9117175	1292	910
176	1304	906
177	1315	901
178	1324	895
179	1330	886
180	1336	878
181	1341	869
182	1349	862
183	1353	853
184	1361	846
185	1368	838
186	1373	830
187	1380	822
188	1387	814
189	1395	807
190	1400	799
191	1406	791
192	1412	783
193	1418	775
194	1428	769
195	1437	762
196	1444	755
197	1451	747
198	1456	739
199	1463	7320200	1472	725
201	1481	718
202	1493	713
203	1508	710
204	1518	703
205	1524	695
206	1535	689
207	1547	684
208	1556	677
209	1561	669
210	1575	664
211	1585	658
212	1594	651
213	1601	643
214	1608	635
215	1614	627
216	1621	620
217	1628	612
218	1635	605
219	1641	597
220	1649	589
221	1655	581
222	1662	573
223	1667	5622224	1672	5522225	1678	5422226	1685	5422227	1691	53229	1697	516
23229	1707	5123230	1712	5123231	1719	5023232	1726	4923233	1732	48235	1739	471
236	1746	464
237	1756	457
238	1766	450
239	1776	444
240	1785	437
241	1796	430
242	1808	424
243	1815	416
244	1821	408
245	1830	401
246	1841	395
247	1850	387
248	1857	380
249	1864	372
250	1869	364
251	1875	357
252	1882	349
25252	1890	3525253	1897	3425254	1904	3325255	1909	3225256	1915	3225257	1921	3125258	1929	3026259	1935	29261	1942	281
262	1948	274
263	1957	266
264	1964	259
265	1971	251
266	1977	244
267	1986	237
268	1994	229
269	2001	222
270	2009	215
271	2020	207
272	2027	200
273	2035	193
274	2046	186
275	2056	178
276	2068	171
277	2081	164
278	2090	157
279	2112	150
280	2125	143
281	2138	136
282	2162	129
283	2170	122
284	2182	114
285	2194	107
286	2200	99
287	2206	91
288	2213	84
289	2221	76
290	2227	68
291	2235	61
292	2241	53
293	2244	45
294	2249	38
295	2252	30
296	2255	22
297	2258	15
298	2260	7
299	2263	0
9	7
299	2253	0
