Rank,Model,Accuracy,Precision,Recall,F1,FPR,AUC
1,XGBoost,0.8725718725718725,0.8729672494829248,0.8725718725718725,0.8726913313308613,0.042476042476042475,0.9758976986523463
2,LightGBM,0.8655788655788655,0.8659083523461945,0.8655788655788655,0.8656806024515386,0.04480704480704481,0.9767311920005133
3,LightGBM_Tuned,0.8632478632478633,0.8635354219711324,0.8632478632478633,0.8633192159422851,0.045584045584045586,0.9765664312029648
4,XGBoost_Calibrated,0.8578088578088578,0.8587311730429884,0.8578088578088578,0.8574635259716353,0.0473970473970474,0.9739380479229862
5,CatBoost,0.8578088578088578,0.858743736302769,0.8578088578088578,0.8579811411290946,0.0473970473970474,0.975117099708806
6,Random_Forest,0.857031857031857,0.8586267905631603,0.857031857031857,0.8572225086522354,0.047656047656047654,0.9724118348653753
7,Extra_Trees,0.8492618492618492,0.8527715829837876,0.8492618492618492,0.8499070489348748,0.05024605024605024,0.9724239895116883
8,XGBoost_Tuned,0.8461538461538461,0.8487925151222703,0.8461538461538461,0.8462998992898617,0.05128205128205128,0.9734663883866242
9,Stacking_Ensemble,0.8414918414918415,0.8445448964068533,0.8414918414918415,0.8416929546194778,0.05283605283605284,0.9695489219372238
10,Gradient_Boosting,0.8337218337218337,0.8369773215451488,0.8337218337218337,0.8338477160020414,0.05542605542605543,0.9659744354018236
11,Decision_Tree,0.8313908313908314,0.8344696873674707,0.8313908313908314,0.8313720646688101,0.056203056203056205,0.8931280830146843
12,Logistic_Regression,0.8127428127428128,0.8155923177317593,0.8127428127428128,0.813212316498822,0.06241906241906242,0.9479988167485645
13,MLP_DNN,0.8088578088578089,0.8157289826510838,0.8088578088578089,0.8097950369984743,0.06371406371406371,0.9577010943977803
14,LDA,0.7715617715617715,0.7906122286848548,0.7715617715617715,0.7740176967438296,0.07614607614607614,0.9366695402586207
15,SVC,0.7567987567987567,0.7708577821725107,0.7567987567987567,0.757101493767155,0.08106708106708106,0.9430485052831361
16,CNN_DNN,0.7536907536907537,0.7811567806947904,0.7536907536907537,0.7468122630623489,0.0821030821030821,0.9210610588143663
17,Naive_Bayes,0.7536907536907537,0.7575983057599128,0.7536907536907537,0.753897264069729,0.0821030821030821,0.9175798199460671
18,AdaBoost,0.7435897435897436,0.7651673460944987,0.7435897435897436,0.7323770926185833,0.08547008547008547,0.872701222942416
19,QDA,0.6627816627816627,0.6756302691563387,0.6627816627816627,0.6650071677038751,0.11240611240611241,0.8612270397294548
20,KNN,0.533022533022533,0.5942136217319176,0.533022533022533,0.5352160251366618,0.15565915565915567,0.7472847533164887
21,LSTM_DNN,0.4199066874027994,0.33629300045704813,0.4199066874027994,0.33957285753149113,0.1933644375324002,0.6225994525605915
