Model,Class,Precision,Recall,F1
Logistic_Regression,High,0.8092105263157895,0.7817796610169492,0.7952586206896551
Logistic_Regression,Low,0.8,0.8529411764705882,0.8256227758007118
Logistic_Regression,Medium,0.76905311778291,0.830423940149626,0.7985611510791367
Logistic_Regression,Very_High,0.9011857707509882,0.8201438848920863,0.8587570621468926
KNN,High,0.5899772209567198,0.548728813559322,0.5686059275521405
KNN,Low,0.4012158054711246,0.9705882352941176,0.567741935483871
KNN,Medium,0.4266666666666667,0.39900249376558605,0.41237113402061853
KNN,Very_High,0.9375,0.4856115107913669,0.6398104265402843
SVC,High,0.8125,0.6610169491525424,0.7289719626168224
SVC,Low,0.6410256410256411,0.9191176470588235,0.7552870090634441
SVC,Medium,0.6916299559471366,0.7830423940149626,0.7345029239766082
SVC,Very_High,0.8779527559055118,0.802158273381295,0.8383458646616542
Decision_Tree,High,0.8054474708171206,0.8771186440677966,0.8397565922920892
Decision_Tree,Low,0.7898550724637681,0.8014705882352942,0.7956204379562044
Decision_Tree,Medium,0.8354430379746836,0.8229426433915212,0.8291457286432161
Decision_Tree,Very_High,0.9041666666666667,0.7805755395683454,0.8378378378378378
Random_Forest,High,0.8276553106212425,0.875,0.850669412976313
Random_Forest,Low,0.8450704225352113,0.8823529411764706,0.8633093525179856
Random_Forest,Medium,0.8578811369509044,0.827930174563591,0.8426395939086294
Random_Forest,Very_High,0.918918918918919,0.8561151079136691,0.8864059590316573
Extra_Trees,High,0.8336755646817249,0.8601694915254238,0.8467153284671532
Extra_Trees,Low,0.8027210884353742,0.8676470588235294,0.833922261484099
Extra_Trees,Medium,0.824390243902439,0.8428927680798005,0.8335388409371147
Extra_Trees,Very_High,0.9506172839506173,0.8309352517985612,0.8867562380038387
Gradient_Boosting,High,0.7964774951076321,0.8622881355932204,0.8280773143438453
Gradient_Boosting,Low,0.8297872340425532,0.8602941176470589,0.8447653429602888
Gradient_Boosting,Medium,0.8405063291139241,0.827930174563591,0.8341708542713567
Gradient_Boosting,Very_High,0.9041666666666667,0.7805755395683454,0.8378378378378378
AdaBoost,High,0.8469750889679716,0.5042372881355932,0.6321381142098274
AdaBoost,Low,0.8169014084507042,0.8529411764705882,0.8345323741007195
AdaBoost,Medium,0.7001972386587771,0.885286783042394,0.7819383259911894
AdaBoost,Very_High,0.6946778711484594,0.8920863309352518,0.7811023622047244
Naive_Bayes,High,0.7263581488933601,0.7648305084745762,0.7450980392156863
Naive_Bayes,Low,0.703030303030303,0.8529411764705882,0.770764119601329
Naive_Bayes,Medium,0.7486772486772487,0.7057356608478803,0.7265725288831836
Naive_Bayes,Very_High,0.8502024291497976,0.7553956834532374,0.8
LDA,High,0.8034934497816594,0.7796610169491526,0.7913978494623656
LDA,Low,0.5796460176991151,0.9632352941176471,0.7237569060773481
LDA,Medium,0.7593582887700535,0.7082294264339152,0.7329032258064516
LDA,Very_High,0.9170305676855895,0.7553956834532374,0.8284023668639053
QDA,High,0.6645299145299145,0.6588983050847458,0.6617021276595745
QDA,Low,0.5647058823529412,0.7058823529411765,0.6274509803921569
QDA,Medium,0.6164383561643836,0.6733167082294265,0.6436233611442194
QDA,Very_High,0.8341232227488151,0.6330935251798561,0.7198364008179959
XGBoost,High,0.8568464730290456,0.875,0.8658280922431866
XGBoost,Low,0.8666666666666667,0.8602941176470589,0.8634686346863468
XGBoost,Medium,0.8625,0.8603491271820449,0.8614232209737828
XGBoost,Very_High,0.9185185185185185,0.8920863309352518,0.9051094890510949
LightGBM,High,0.8550420168067226,0.8622881355932204,0.8586497890295358
LightGBM,Low,0.8721804511278195,0.8529411764705882,0.862453531598513
LightGBM,Medium,0.8501228501228502,0.8628428927680798,0.8564356435643564
LightGBM,Very_High,0.9040590405904059,0.8812949640287769,0.8925318761384335
CatBoost,High,0.8373983739837398,0.8728813559322034,0.8547717842323651
