Feature,Importance_Mean,Importance_STD
Store_Encoded,0.001569544746187912,5.556705842986108e-05
CPI,0.0003515047023256557,4.05577598458215e-05
Month,0.00017692192949105844,4.4944832979567784e-05
Week,0.00016730866643710485,4.345218107573583e-05
Quarter,0.0001656173924747595,3.8382551386931325e-05
Temperature,0.00013288031483074114,1.4711146758023789e-05
Fuel_Price,2.6837488711661804e-05,8.266427536703093e-06
Unemployment,2.2371366436413354e-05,9.997656123528567e-06
DayOfWeek,0.0,0.0
IsWeekend,0.0,0.0
Holiday_Flag,-7.330730903971627e-05,1.3614649900251569e-05
