Name,YearJoined,YearResigned,ResignDate,ResignQuarter
1,2016,2019,2019-01-01,2019Q1
2,2012,,,
4,2022,2022,2022-01-01,2022Q1
5,2014,,,
7,2020,,,
8,2015,,,
10,2021,,,
11,2021,,,
12,2013,,,
13,2015,,,
14,2017,,,
15,2013,,,
16,2017,,,
18,2020,,,
19,2018,2020,2020-01-01,2020Q1
20,2012,,,
21,2016,,,
22,2021,,,
23,1997,,,
24,2019,,,
26,2018,,,
27,2017,2022,2022-01-01,2022Q1
28,2010,,,
30,2022,,,
31,2018,2021,2021-01-01,2021Q1
32,2008,,,
33,2012,2020,2020-01-01,2020Q1
35,2013,,,
36,2000,,,
38,2020,,,
39,2021,,,
40,2018,,,
41,2012,,,
42,2021,2021,2021-01-01,2021Q1
45,2020,2020,2020-01-01,2020Q1
46,2017,,,
47,2019,2021,2021-01-01,2021Q1
49,2020,,,
51,2021,,,
52,2017,,,
53,2021,,,
54,2021,,,
55,2021,2020,2020-01-01,2020Q1
56,2013,,,
57,2010,,,
58,2000,2019,2019-01-01,2019Q1
60,2013,,,
61,2021,,,
62,2013,,,
63,2021,,,
64,2021,2019,2019-01-01,2019Q1
65,2020,2022,2022-01-01,2022Q1
68,2018,,,
70,2018,,,
72,2020,,,
73,2007,,,
74,2013,,,
75,2020,,,
76,2015,,,
77,2015,,,
78,2013,,,
79,2012,,,
80,1995,,,
81,2001,,,
83,2005,,,
84,2017,,,
85,2016,,,
86,2021,,,
88,2019,,,
90,2021,2019,2019-01-01,2019Q1
91,2018,,,
94,2017,,,
95,2021,,,
96,2012,,,
97,2021,,,
98,2011,,,
100,2007,,,
101,2022,,,
102,2017,,,
103,2018,,,
104,2012,,,
105,2016,,,
106,2021,,,
107,2009,,,
110,2017,,,
112,2016,,,
113,2022,,,
116,2018,,,
117,2011,,,
118,2013,2019,2019-01-01,2019Q1
119,2000,,,
120,2012,,,
121,2011,,,
124,2012,,,
125,2011,,,
126,2018,,,
128,2019,,,
129,2017,,,
131,1985,,,
132,2019,,,
133,2019,2022,2022-01-01,2022Q1
134,2021,,,
137,2021,2022,2022-01-01,2022Q1
138,2006,,,
139,2021,,,
140,2019,,,
141,2014,,,
142,2016,2022,2022-01-01,2022Q1
143,2020,,,
144,2022,,,
145,2009,,,
147,2013,2022,2022-01-01,2022Q1
148,2017,,,
150,2017,,,
151,2021,,,
152,2017,,,
153,2011,,,
154,2013,,,
155,2021,,,
158,1997,,,
159,2012,,,
160,2015,,,
161,2017,2022,2022-01-01,2022Q1
162,2002,,,
163,2015,2020,2020-01-01,2020Q1
164,2017,,,
165,1982,2020,2020-01-01,2020Q1
167,2022,2019,2019-01-01,2019Q1
169,2020,,,
170,2007,,,
171,2019,,,
174,2020,,,
175,2020,2019,2019-01-01,2019Q1
176,2013,,,
177,2014,,,
178,2019,,,
179,2018,2020,2020-01-01,2020Q1
182,2007,,,
183,2020,,,
184,2011,,,
190,2017,2021,2021-01-01,2021Q1
192,2016,,,
193,2019,,,
194,2017,,,
195,2014,,,
197,2019,,,
198,2017,,,
199,2015,,,
200,2017,,,
201,2021,,,
202,2002,,,
204,2012,,,
205,2015,,,
206,2005,,,
207,2013,,,
208,2012,,,
211,2021,,,
214,2021,,,
215,2010,,,
216,2018,,,
217,2020,,,
218,2020,,,
221,2017,,,
223,2017,,,
224,2021,,,
226,2017,,,
227,2013,,,
228,2012,,,
230,2014,,,
231,2017,,,
233,2017,,,
235,2022,2022,2022-01-01,2022Q1
238,2014,,,
239,2010,,,
240,2017,,,
241,2020,,,
242,2019,,,
243,2021,2019,2019-01-01,2019Q1
244,1998,,,
245,2020,,,
246,2018,,,
247,2019,,,
248,2018,2020,2020-01-01,2020Q1
249,2019,,,
250,2018,,,
252,2014,,,
253,2002,,,
254,1998,,,
256,2012,,,
258,2015,,,
259,1989,,,
260,2015,,,
261,2021,2021,2021-01-01,2021Q1
262,2017,,,
264,2002,,,
267,2014,,,
269,2016,,,
270,2017,,,
271,2021,,,
273,2015,,,
274,2020,,,
275,2015,,,
277,2017,,,
281,2015,,,
282,2021,2021,2021-01-01,2021Q1
283,2012,2022,2022-01-01,2022Q1
284,2018,,,
286,2014,,,
287,2019,,,
288,2018,,,
291,2008,2019,2019-01-01,2019Q1
292,2011,,,
293,2015,,,
296,2012,,,
297,2017,2020,2020-01-01,2020Q1
298,2021,,,
299,2016,2020,2020-01-01,2020Q1
300,2016,2020,2020-01-01,2020Q1
302,2003,,,
303,2016,,,
304,2009,,,
305,2019,,,
306,2012,,,
307,2006,,,
308,2017,,,
309,2021,,,
311,2013,,,
312,2011,,,
314,2012,,,
315,2018,2020,2020-01-01,2020Q1
316,2020,,,
319,2000,,,
321,2020,,,
323,2015,,,
325,2017,2020,2020-01-01,2020Q1
327,2005,,,
328,2013,2021,2021-01-01,2021Q1
329,1989,,,
330,2018,,,
331,2019,2022,2022-01-01,2022Q1
332,2019,,,
333,2019,,,
334,2021,,,
335,2013,,,
336,1998,,,
337,2020,,,
338,2020,,,
339,2011,,,
340,2019,,,
341,2019,,,
342,2021,2020,2020-01-01,2020Q1
343,2003,,,
346,2016,,,
347,2019,,,
349,2019,,,
350,2018,,,
351,2013,,,
352,2001,,,
353,2021,,,
355,2017,2019,2019-01-01,2019Q1
359,2017,,,
361,2014,,,
362,2016,,,
363,2015,,,
364,2022,2019,2019-01-01,2019Q1
366,2022,,,
367,2013,,,
369,2016,,,
372,2002,,,
373,2007,,,
374,1986,,,
376,2012,2019,2019-01-01,2019Q1
377,2017,,,
378,2017,,,
379,2019,,,
380,2017,,,
381,2015,,,
382,2014,,,
384,2016,,,
385,2012,,,
386,2017,,,
387,2002,,,
388,2012,,,
389,2012,,,
390,2017,,,
391,2005,,,
392,2021,2020,2020-01-01,2020Q1
393,2020,,,
