Model,Best_Params,Val_R2,Test_R2,Test_RMSE,Test_MAE
KernelRidge,"{'alpha': 0.1, 'gamma': 0.01}",0.9838648756887075,0.9873288473871525,64424.67727219595,42574.78767319382
ExtraTreesRegressor,"{'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 200}",0.9777075106587912,0.9832306607863643,74114.32639313636,47652.318534472484
HistGradientBoostingRegressor,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'max_leaf_nodes': 63}",0.9766204846899317,0.9817382546023796,77341.98829860926,46665.61063947481
GradientBoostingRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9725872426069646,0.9782230749032802,84458.32605004788,51880.024764670045
RandomForestRegressor,"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}",0.9606750819159441,0.9676154841157664,102994.23008258258,54982.792098170015
Ridge,{'alpha': 1.0},0.95533901269803,0.9621725569344415,111313.46043440759,63976.27256670393
BayesianRidge,"{'alpha_1': 1e-06, 'alpha_2': 1e-06}",0.9550301156336166,0.9621419863692494,111358.43080350032,64427.03447977315
Lasso,{'alpha': 1.0},0.9549184298056033,0.9621134425494293,111400.4033710452,64594.75980676355
LassoLars,{'alpha': 0.1},0.9549122497618602,0.9621106800448946,111404.46468633215,64608.733880056854
OrthogonalMatchingPursuit,{'n_nonzero_coefs': 15},0.9537868354940932,0.9616817586276007,112033.26045852517,63182.72834161443
RANSACRegressor,"{'max_trials': 100, 'min_samples': 0.7}",0.9553425629315777,0.9611791874905063,112765.56526840753,62746.56496084375
ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.7}",0.9548033617451686,0.9598924504001739,114619.16900796213,63780.247561971846
SGDRegressor,"{'alpha': 0.001, 'penalty': 'elasticnet'}",0.9525864648268166,0.9588809909083957,116055.44227963258,65210.61663140184
HuberRegressor,"{'alpha': 0.0001, 'epsilon': 1.5}",0.9479997319847735,0.9567700081626911,118997.20686289346,62239.47863286007
KNeighborsRegressor,"{'n_neighbors': 5, 'weights': 'distance'}",0.9423408859200912,0.9547136132047797,121794.5980985438,82853.97769945776
PassiveAggressiveRegressor,{'C': 1.0},0.943884164659336,0.9523143181123686,124979.32923999107,63774.42841353394
Lars,{'n_nonzero_coefs': 10},0.9512619165828312,0.9496305813688304,128448.09272080206,70307.09458458188
DecisionTreeRegressor,"{'max_depth': 8, 'min_samples_leaf': 5}",0.9490109328293531,0.9471854483461468,131528.83988532494,64210.98818178827
AdaBoostRegressor,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9286695604243826,0.9438783087502748,135584.35079245578,97996.41606435149
PoissonRegressor,{'alpha': 0.0001},0.8971024144265992,0.9008168097779911,180245.00052254228,128212.81115360271
TweedieRegressor,"{'alpha': 0.01, 'power': 1.5}",0.8776766654853722,0.8731142875938569,203868.69928331248,135356.0356000123
GammaRegressor,{'alpha': 0.01},0.8604100043762171,0.8132107076026365,247354.7071057658,150943.13592091404
NuSVR,"{'C': 10.0, 'nu': 0.5}",-0.001409993801894549,-0.008515670272374765,574758.6502010354,471360.6410734619
SVR,"{'C': 10.0, 'gamma': 'scale'}",-0.010327169192811514,-0.018509026239722948,577599.2650303569,470239.96996829746
LinearSVR,"{'C': 10.0, 'epsilon': 0.0}",-3.2391778447516124,-3.1006527391839915,1158965.9782583835,1006306.7634802329
