Model,Train_R2,Train_RMSE,Train_MAE,Train_MSE,Val_R2,Val_RMSE,Val_MAE,Val_MSE,Test_R2,Test_RMSE,Test_MAE,Test_MSE,Best_Params
KernelRidge,0.9882486322283028,61268.99610409451,40648.427086524185,3753889883.6035485,0.9838648756887075,70282.1970880731,45647.068839948006,4939587227.526751,0.9873288473871525,64424.67727219595,42574.78767319382,4150539041.626601,"{'alpha': 0.1, 'gamma': 0.01}"
ExtraTreesRegressor,0.9986794176881474,20538.999925373562,14022.734280047303,421850517.9344952,0.9777075106587912,82611.10959732896,51506.39157843278,6824595428.901897,0.9832306607863643,74114.32639313636,47652.31853447248,5492933376.708348,"{'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 200}"
HistGradientBoostingRegressor,0.9951246971567009,39463.65942862789,25209.70773725391,1557380415.4987314,0.9766204846899317,84601.277944566,49949.846703948475,7157376229.853708,0.9817382546023796,77341.98829860926,46665.61063947481,5981783153.982211,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'max_leaf_nodes': 63}"
GradientBoostingRegressor,0.9893731658974121,58263.75969694939,40103.99133984698,3394665694.023864,0.9725872426069646,91608.44955302538,54375.16089519296,8392108029.509196,0.9782230749032802,84458.32605004788,51880.024764670045,7133208839.176195,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
RandomForestRegressor,0.9951135541535178,39508.732802909544,21323.969101263894,1560939967.6917007,0.9606750819159441,109721.84075165192,59120.08685206462,12038882337.930864,0.9676154841157664,102994.23008258258,54982.792098170015,10607811430.303959,"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}"
Ridge,0.9591813955289427,114189.3581228584,62927.263212826336,13039209508.510406,0.95533901269803,116929.29506182144,65137.059063687375,13672460043.6545,0.9621725569344415,111313.46043440759,63976.27256670393,12390686473.882423,{'alpha': 1.0}
BayesianRidge,0.9593160526837013,114000.85196734565,63339.26385761895,12996194249.280657,0.9550301156336166,117332.96814302391,65747.8438992174,13767025413.251863,0.9621419863692494,111358.43080350032,64427.03447977315,12400700111.017967,"{'alpha_1': 1e-06, 'alpha_2': 1e-06}"
Lasso,0.9593252171548924,113988.01132091491,63505.424931225214,12993266724.897026,0.9549184298056033,117478.58007346136,65971.49459111846,13801216776.076672,0.9621134425494293,111400.4033710452,64594.75980676355,12410049871.231579,{'alpha': 1.0}
LassoLars,0.9593252443327099,113987.97323901656,63515.35837760374,12993258043.138754,0.9549122497618602,117486.63212089935,65986.95304901214,13803108727.11154,0.9621106800448946,111404.46468633215,64608.733880056854,12410954752.048227,{'alpha': 0.1}
OrthogonalMatchingPursuit,0.9578639313096604,116017.51580777777,62757.81947994382,13460063974.207966,0.9537868354940932,118943.85934108497,64949.06803856936,14147641674.951807,0.9616817586276007,112033.26045852517,63182.72834161443,12551451448.96774,{'n_nonzero_coefs': 15}
RANSACRegressor,0.9571360333587329,117015.32266078492,62270.616268707825,13692585737.407606,0.9553425629315777,116924.64744226194,64188.95470877215,13671373179.49725,0.9611791874905063,112765.56526840753,62746.56496084375,12716072710.30348,"{'max_trials': 100, 'min_samples': 0.7}"
ElasticNet,0.9557938500312189,118833.229966941,63705.723415786044,14121336544.375883,0.9548033617451686,117628.41311264607,64512.52515605578,13836443571.399326,0.9598924504001739,114619.16900796213,63780.247561971846,13137553904.075788,"{'alpha': 0.01, 'l1_ratio': 0.7}"
SGDRegressor,0.9535453546557373,121817.90596687424,66385.41121773797,14839602214.154215,0.9525864648268166,120478.71879832285,66725.26068830522,14515121683.285353,0.9588809909083957,116055.44227963258,65210.61663140184,13468865682.721128,"{'alpha': 0.001, 'penalty': 'elasticnet'}"
HuberRegressor,0.9492143148300106,127370.01893954733,62839.94891322902,16223121724.660645,0.9479997319847735,126171.70232324956,63433.60423462833,15919298467.146696,0.9567700081626911,118997.20686289346,62239.47863286007,14160335241.17026,"{'alpha': 0.0001, 'epsilon': 1.5}"
KNeighborsRegressor,0.9999999999999986,0.021056659325427517,0.008812248895483717,0.0004433829019471136,0.9423408859200912,132859.6653693903,87921.92370644271,17651690682.06637,0.9547136132047797,121794.5980985438,82853.97769945776,14833924125.985807,"{'n_neighbors': 5, 'weights': 'distance'}"
PassiveAggressiveRegressor,0.944868943194073,132707.26969093148,64287.93224637759,17611219428.82162,0.943884164659336,131069.57395165892,64520.442350802805,17179233215.869389,0.9523143181123686,124979.32923999107,63774.42841353394,15619832737.278088,{'C': 1.0}
Lars,0.947635673202653,129334.47890720036,69805.95792730378,16727407434.197054,0.9512619165828312,122149.97856371138,68698.79482151417,14920617263.115149,0.9496305813688304,128448.09272080206,70307.09458458188,16498912523.611761,{'n_nonzero_coefs': 10}
DecisionTreeRegressor,0.9766471610621094,86370.69164412591,50646.33595802708,7459896375.084681,0.9490109328293531,124938.90777907109,67564.98641469647,15609730677.027231,0.9471854483461468,131528.83988532494,64210.98818178827,17299835721.579445,"{'max_depth': 8, 'min_samples_leaf': 5}"
AdaBoostRegressor,0.944126803728198,133597.4945180619,96226.99782601016,17848290541.50358,0.9286695604243826,147773.52114904206,103592.26425443185,21837013552.786385,0.9438783087502748,135584.35079245578,97996.41606435149,18383116179.811707,"{'learning_rate': 0.5, 'n_estimators': 50}"
PoissonRegressor,0.9075116352148138,171885.84199126955,123039.17208673629,29544742677.047688,0.8971024144265992,177485.04452487789,125433.0370769731,31500941029.997887,0.9008168097779911,180245.00052254228,128212.81115360271,32488260213.371265,{'alpha': 0.0001}
TweedieRegressor,0.88582255587571,190979.48324112344,129541.95726492838,36473163019.04655,0.8776766654853722,193514.64042325085,130280.053346837,37447916058.140076,0.8731142875938569,203868.69928331248,135356.0356000123,41562446547.469696,"{'alpha': 0.01, 'power': 1.5}"
GammaRegressor,0.8333833364106078,230704.34407939826,145298.4146986251,53224494377.10538,0.8604100043762171,206721.81930648786,139812.42714748462,42733910577.38422,0.8132107076026365,247354.7071057658,150943.13592091404,61184351127.37917,{'alpha': 0.01}
NuSVR,-0.005804041314993125,566830.5427905435,461455.8967005517,321296864240.22217,-0.001409993801894549,553688.0268112037,457464.96128193475,306570431034.0842,-0.008515670272374765,574758.6502010354,471360.6410734619,330347505980.9162,"{'C': 10.0, 'nu': 0.5}"
SVR,-0.0166961937511918,569891.4668311443,460171.00553730736,324776283966.9532,-0.010327169192811514,556147.7539331014,456440.1468981449,309300324204.83356,-0.018509026239722948,577599.2650303569,470239.96996829746,333620910963.6086,"{'C': 10.0, 'gamma': 'scale'}"
LinearSVR,-3.1865900011771275,1156449.7625795233,1008926.7804791505,1337376053370.2358,-3.2391778447516124,1139200.0359732409,995810.195120435,1297776721961.433,-3.1006527391839915,1158965.9782583835,1006306.7634802329,1343202138760.4119,"{'C': 10.0, 'epsilon': 0.0}"
