Model,Test_R2,max_depth,learning_rate,random_state,n_estimators,subsample,colsample_bytree,alpha,depth,alpha_1,alpha_2,compute_score,copy_X,fit_intercept,lambda_1,n_jobs,positive,tol,alpha_init,n_nonzero_coefs,precompute,epsilon,C,name,trainable,dtype,layers,build_input_shape,n_neighbors,kernel
HistGradientBoostingRegressor,0.9707240750524742,,0.1,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
LGBMRegressor,0.9639784217817481,-1.0,0.05,42.0,600.0,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,
RandomForestRegressor,0.960900025874001,,,42.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
GradientBoostingRegressor,0.9571617001103642,3.0,0.1,42.0,100.0,1.0,,0.9,,,,,,,,,,,,,,,,,,,,,,
BaggingRegressor,0.9551673668514535,,,42.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
XGBRegressor,0.9541070071937042,,0.05,42.0,400.0,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,
ExtraTreesRegressor,0.9514407701063758,,,42.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
CatBoostRegressor,0.9276711698607711,,0.05,42.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
ARDRegression,0.9234454414269465,,,,,,,,,1e-06,1e-06,False,True,True,1e-06,,,,,,,,,,,,,,,
Lasso,0.9232798671719236,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
LassoLars,0.9232797719970742,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Lars,0.9232797161031128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearRegression,0.9232797161031128,,,,,,,,,,,,True,True,,,False,1e-06,,,,,,,,,,,,
Ridge(alpha=0.0001),0.9232797150316296,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,
BayesianRidge,0.9232658340820182,,,,,,,,,1e-06,1e-06,False,True,True,,,,,,,,,,,,,,,,
OrthogonalMatchingPursuit,0.9230985946276657,,,,,,,,,,,,,True,,,,,,,auto,,,,,,,,,
SGDRegressor,0.9229252941865616,,invscaling,,,,,0.0001,,,,,,,,,,,,,,0.1,,,,,,,,
PassiveAggressiveRegressor,0.9223380862292427,,,,,,,,,,,,,,,,,,,,,0.1,1.0,,,,,,,
RANSACRegressor,0.9221636913449079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HuberRegressor,0.9198892954657254,,,,,,,0.0001,,,,,,,,,,,,,,1.35,,,,,,,,
DecisionTreeRegressor,0.9123795039521986,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AdaBoostRegressor,0.837626538187921,,1.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
DNN3,0.7956491041008241,,,,,,,,,,,,,,,,,,,,,,,sequential,True,"{'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}","[{'module': 'keras.layers', 'class_name': 'InputLayer', 'config': {'batch_shape': (None, 10), 'dtype': 'float32', 'sparse': False, 'ragged': False, 'name': 'input_layer'}, 'registered_name': None}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 512, 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 10)}}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense_1', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 256, 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 512)}}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense_2', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 128, 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 256)}}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense_3', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 1, 'activation': 'linear', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 128)}}]","(None, 10)",,
ElasticNet,0.7893422617061245,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
DNN2,0.7727041383551853,,,,,,,,,,,,,,,,,,,,,,,sequential,True,"{'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}","[{'module': 'keras.layers', 'class_name': 'InputLayer', 'config': {'batch_shape': (None, 10), 'dtype': 'float32', 'sparse': False, 'ragged': False, 'name': 'input_layer'}, 'registered_name': None}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 256, 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 10)}}, {'module': 'keras.layers', 'class_name': 'Dropout', 'config': {'name': 'dropout', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'rate': 0.2, 'seed': None, 'noise_shape': None}, 'registered_name': None}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense_1', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 128, 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 256)}}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense_2', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 64, 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 128)}}, {'module': 'keras.layers', 'class_name': 'Dense', 'config': {'name': 'dense_3', 'trainable': True, 'dtype': {'module': 'keras', 'class_name': 'DTypePolicy', 'config': {'name': 'float32'}, 'registered_name': None}, 'units': 1, 'activation': 'linear', 'use_bias': True, 'kernel_initializer': {'module': 'keras.initializers', 'class_name': 'GlorotUniform', 'config': {'seed': None}, 'registered_name': None}, 'bias_initializer': {'module': 'keras.initializers', 'class_name': 'Zeros', 'config': {}, 'registered_name': None}, 'kernel_regularizer': None, 'bias_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None}, 'registered_name': None, 'build_config': {'input_shape': (None, 64)}}]","(None, 10)",,
TheilSenRegressor,0.7471062790330433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNeighborsRegressor,0.42567438821822645,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
SVR,-0.9292404183459106,,,,,,,,,,,,,,,,,,,,,0.1,1.0,,,,,,,rbf
QuantileRegressor,-0.9305914051525921,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
