Original_Index,Split_Set,Weekly_Sales
0,Train,1643690.9
1,Train,1641957.44
2,Validation,1611968.17
3,Validation,1409727.59
4,Validation,1554806.68
5,Validation,1439541.59
6,Validation,1472515.79
7,Validation,1404429.92
8,Test,1594968.28
9,Validation,1545418.53
10,Validation,1466058.28
11,Validation,1391256.12
12,Validation,1425100.71
13,Validation,1603955.12
14,Test,1494251.5
15,Test,1399662.07
16,Validation,1432069.95
17,Test,1615524.71
18,Validation,1542561.09
19,Test,1503284.06
20,Validation,1422711.6
21,Train,1492418.14
22,Validation,1546074.18
23,Test,1448938.92
24,Train,1385065.2
25,Validation,1371986.6
26,Validation,1605491.78
27,Train,1508237.76
28,Validation,1513080.49
29,Test,1449142.92
30,Validation,1540163.53
31,Test,1507460.69
32,Train,1430378.67
33,Test,1351791.03
34,Validation,1453329.5
35,Validation,1508239.93
36,Validation,1459409.1
37,Test,1345454.0
38,Validation,1384209.22
39,Validation,1551659.28
40,Train,1494479.49
41,Test,1483784.18
42,Train,1955624.11
43,Validation,1548033.78
44,Test,1682614.26
45,Test,1891034.93
46,Validation,2387950.2
47,Validation,1367320.01
48,Validation,1444732.28
49,Validation,1391013.96
50,Test,1327405.42
51,Test,1316899.31
52,Validation,1606629.58
53,Validation,1649614.93
54,Validation,1686842.78
55,Validation,1456800.28
56,Validation,1636263.41
57,Train,1553191.63
58,Validation,1576818.06
59,Validation,1541102.38
60,Validation,1495064.75
61,Validation,1614259.35
62,Validation,1559889.0
63,Test,1564819.81
64,Validation,1455090.69
65,Test,1629391.28
66,Validation,1604775.58
67,Validation,1428218.27
68,Train,1466046.67
69,Test,1635078.41
70,Validation,1588948.32
71,Validation,1532114.86
72,Train,1438830.15
73,Validation,1488538.09
74,Validation,1534849.64
75,Test,1455119.97
76,Validation,1396926.82
77,Validation,1352219.79
78,Validation,1624383.75
79,Test,1525147.09
80,Test,1530761.43
81,Validation,1464693.46
82,Validation,1550229.22
83,Train,1540471.24
84,Test,1514259.78
85,Validation,1380020.27
86,Validation,1394561.83
87,Train,1630989.95
88,Test,1493525.93
89,Validation,1502562.78
90,Test,1445249.09
91,Test,1697229.58
92,Validation,1594938.89
93,Test,1539483.7
94,Validation,2033320.66
95,Validation,1584083.95
96,Test,1799682.38
97,Validation,1881176.67
98,Validation,2270188.99
99,Validation,1497462.72
100,Validation,1550369.92
101,Test,1459601.17
102,Test,1394393.84
103,Validation,1319325.59
104,Validation,1636339.65
105,Validation,1802477.43
106,Validation,1819870.0
107,Test,1539387.83
108,Validation,1688420.76
109,Validation,1675431.16
110,Test,1677472.78
111,Validation,1511068.07
112,Validation,1649604.63
113,Validation,1899676.88
114,Validation,1621031.7
115,Validation,1521577.87
116,Train,1468928.37
117,Train,1684519.99
118,Validation,1611096.05
119,Train,1595901.87
120,Train,1555444.55
121,Test,1624477.58
122,Test,1697230.96
123,Validation,1630607.0
124,Test,1527845.81
125,Validation,1540421.49
126,Validation,1769854.16
127,Validation,1527014.04
128,Validation,1497954.76
129,Validation,1439123.71
130,Validation,1631135.79
131,Validation,1592409.97
132,Test,1597868.05
133,Validation,1494122.38
134,Train,1582083.4
135,Test,1661767.33
136,Validation,1517428.87
137,Validation,1506126.06
