Model,Split,Accuracy,Precision,Recall,F1,False_Positive_Rate,AUC
Logistic_Regression,Train,0.8859841827768014,0.8866412100588617,0.8859841827768014,0.8860076109355709,0.03800527240773287,0.9835624632573614
Logistic_Regression,Validation,0.885003885003885,0.882112606833464,0.885003885003885,0.882337027618599,0.03833203833203833,0.9821924081528355
Logistic_Regression,Test,0.8127428127428128,0.8154390574838076,0.8127428127428128,0.813147468450041,0.06241906241906242,0.9483945648664501
KNN,Train,0.906634446397188,0.9066409636368058,0.906634446397188,0.9063976747028886,0.031121851200937318,0.9879068137195853
KNN,Validation,0.6410256410256411,0.7696611225503084,0.6410256410256411,0.657416274835938,0.11965811965811966,0.8552981311299824
KNN,Test,0.5345765345765345,0.5877613588765,0.5345765345765345,0.5381985073884364,0.15514115514115515,0.749263785895145
SVC,Train,0.9099297012302284,0.910004784845759,0.9099297012302284,0.9099183126421694,0.030023432923257175,0.9894033201445923
SVC,Validation,0.8383838383838383,0.8629177173936509,0.8383838383838383,0.841834728813819,0.05387205387205387,0.9804226373478656
SVC,Test,0.7599067599067599,0.7714136886159889,0.7599067599067599,0.75960520738416,0.08003108003108003,0.9448248753221355
Decision_Tree,Train,0.9863796133567663,0.9864217368905847,0.9863796133567663,0.986387301079741,0.004540128881077915,0.9993170116227712
Decision_Tree,Validation,0.8477078477078477,0.8635694303682854,0.8477078477078477,0.8529131353192717,0.050764050764050765,0.9147731093860999
Decision_Tree,Test,0.83993783993784,0.8405650312025119,0.83993783993784,0.8399161378617532,0.053354053354053355,0.9043177107025058
Random_Forest,Train,0.9995606326889279,0.9995614035087719,0.9995606326889279,0.9995606323496592,0.00014645577035735208,1.0
Random_Forest,Validation,0.9114219114219114,0.9107924014841662,0.9114219114219114,0.911012562384342,0.029526029526029528,0.9867333479038094
Random_Forest,Test,0.8593628593628594,0.8609358485106403,0.8593628593628594,0.8595720866033466,0.04687904687904688,0.9713970371088918
Gradient_Boosting,Train,1.0,1.0,1.0,1.0,0.0,1.0
Gradient_Boosting,Validation,0.8717948717948718,0.8819318265306236,0.8717948717948718,0.8753956024611136,0.042735042735042736,0.9846102466229664
Gradient_Boosting,Test,0.8376068376068376,0.8399997804666548,0.8376068376068376,0.837927284606418,0.05413105413105413,0.9699996596008954
Naive_Bayes,Train,0.8275483304042179,0.833674705299897,0.8275483304042179,0.8275871012608866,0.05748388986526069,0.9671041099761861
Naive_Bayes,Validation,0.8624708624708625,0.8583207006394552,0.8624708624708625,0.8599409401506012,0.04584304584304584,0.9740638076203271
Naive_Bayes,Test,0.7567987567987567,0.7608458357900831,0.7567987567987567,0.7569093318514107,0.08106708106708106,0.9175179180887612
XGBoost,Train,0.9995606326889279,0.9995606326889279,0.9995606326889279,0.9995606326889279,0.00014645577035735208,0.9999988417381959
XGBoost,Validation,0.9106449106449106,0.9114925583940788,0.9106449106449106,0.9109822606164341,0.029785029785029785,0.9890932114111917
XGBoost,Test,0.864024864024864,0.8644365016932078,0.864024864024864,0.8640700952728076,0.045325045325045325,0.9769719182321798
LightGBM,Train,0.999780316344464,0.9997805092186127,0.999780316344464,0.9997803163020554,7.322788517867604e-05,1.0
LightGBM,Validation,0.912975912975913,0.9118646324213455,0.912975912975913,0.9123245567824467,0.02900802900802901,0.9905011371716558
LightGBM,Test,0.864024864024864,0.8640159471230573,0.864024864024864,0.8640004736240773,0.045325045325045325,0.9774029509981239
MLP_DNN_Classifier,Test,0.7964257964257965,0.8035151413949652,0.7964257964257965,0.7973998177033652,,0.951977040561994
CNN_DNN_Classifier,Test,0.6557886557886557,0.6066163479007722,0.6557886557886557,0.6109582781049553,,0.9113232330921237
LSTM_DNN_Classifier,Test,0.36701754385964913,0.541172413365602,0.36701754385964913,0.2917823046873886,,0.7709253822347181
