,Random_Forest,Extra_Trees,XGBoost,LightGBM,Mean
Month,0.005173728573683177,0.005757814352854854,0.026951887,287,71.75947085741001
DayOfWeek,0.0036102395725313217,0.006049644691384969,0.011582973,162,40.505310714419274
Week,0.006136724210958743,0.006184242702111789,0.021064136,270,67.5083462757726
Quarter,0.002376460004018002,0.005303210832900619,0.0,0,0.0019199177092296552
IsWeekend,0.0008257923732265038,0.0027302190577546,0.0,2,0.5008890028577453
Month_sin,0.003845146490684415,0.006752114944430504,0.016979778,197,49.25689425990515
Month_cos,0.0032931839727365696,0.005456691561756723,0.01500287,135,33.75593818638385
Week_sin,0.005669816036665819,0.007393237140820952,0.014810774,356,89.00696845668037
Week_cos,0.0051905868696864805,0.006173512566226916,0.01467289,295,73.75650924743536
DoW_sin,0.00332510708447849,0.004904384923255341,0.009442319,246,61.50441795279248
DoW_cos,0.002651118950134369,0.005860790893583648,0.009580645,182,45.50452313865566
Holiday_Flag,0.0012855699397851276,0.0035406970564785586,0.02142119,19,4.756561864336878
Temperature,0.013686820036324791,0.010610517898344133,0.016122287,1463,365.7601049062685
Fuel_Price,0.01085057418457544,0.00925763847638669,0.011872929,1418,354.50799528531263
CPI,0.013851894491018611,0.022462338851462534,0.013396862,927,231.76242777382637
Unemployment,0.012310153984055418,0.014573644845575977,0.011046891,943,235.7594826724826
Sales_Lag1,0.12871437896312812,0.1303398502900232,0.019460479,1843,460.8196286770127
Sales_Lag2,0.11450906729796148,0.09897136816798467,0.02027066,1626,406.5584377739964
Sales_Lag4,0.07806729739928928,0.08972460134441153,0.015210235,1437,359.29575053332593
Sales_Lag8,0.06537555177903413,0.0874754177871199,0.013739297,1165,291.29164756668314
Sales_Lag12,0.036535603551619764,0.05536582835733305,0.013053601,1059,264.77623875814635
Sales_Rolling_Mean_4,0.21863117366233892,0.18070983367019175,0.51066715,3158,789.7275020381462
Sales_Rolling_Std_4,0.03516397921515156,0.022204260506356377,0.03094694,2589,647.2720787949763
Sales_Rolling_Mean_12,0.16011168217201072,0.13786018542377165,0.11133662,1214,303.60232712156443
Sales_Rolling_Std_12,0.03227324661730503,0.027410871383594774,0.013535896,1298,324.51830500357926
Temp_Unemployment,0.013107280899424397,0.010354217480339122,0.011183003,1129,282.25866112533583
Holiday_CPI,0.002661661614060502,0.0038060397310554256,0.0129426075,266,66.50485257721492
Store_Encoded,0.02076616005411288,0.03276682506248983,0.013705084,287,71.76680951730424
