Model,Hyperparameter,Value
MLP_DNN,layer_1,256
MLP_DNN,layer_2,128
MLP_DNN,layer_3,64
MLP_DNN,layer_4,32
MLP_DNN,dropout_1,0.3
MLP_DNN,dropout_2,0.3
MLP_DNN,dropout_3,0.2
MLP_DNN,batch_norm,True
MLP_DNN,optimizer,Adam
MLP_DNN,learning_rate,0.001
MLP_DNN,epochs,50
MLP_DNN,batch_size,32
LSTM_DNN,lstm_layer_1,128
LSTM_DNN,lstm_layer_2,64
LSTM_DNN,dense_layer,32
LSTM_DNN,dropout_1,0.3
LSTM_DNN,dropout_2,0.2
LSTM_DNN,optimizer,Adam
LSTM_DNN,learning_rate,0.001
LSTM_DNN,epochs,50
LSTM_DNN,batch_size,32
CNN_DNN,conv1d_filters_1,64
CNN_DNN,conv1d_kernel,3
CNN_DNN,conv1d_filters_2,64
CNN_DNN,maxpool_size,2
CNN_DNN,conv1d_filters_3,32
CNN_DNN,dense_layer,64
CNN_DNN,dropout_1,0.3
CNN_DNN,dropout_2,0.2
CNN_DNN,batch_norm,True
CNN_DNN,optimizer,Adam
CNN_DNN,learning_rate,0.001
CNN_DNN,epochs,50
CNN_DNN,batch_size,32
