Model,Hyperparameters
LinearRegression,"copy_X=True, fit_intercept=True, n_jobs=None, positive=False, tol=1e-06"
Ridge,alpha=10
Lasso,alpha=10
ElasticNet,"alpha=10, l1_ratio=0.5"
BayesianRidge,
HuberRegressor,"alpha=0.0001, epsilon=1.35, fit_intercept=True, max_iter=100, tol=1e-05"
TheilSenRegressor,"copy_X=deprecated, fit_intercept=True, max_iter=300, max_subpopulation=10000.0, n_jobs=None"
RANSACRegressor,"estimator=None, is_data_valid=None, is_model_valid=None, loss=absolute_error, max_skips=inf"
PassiveAggressiveRegressor,"C=1.0, average=False, early_stopping=False, epsilon=0.1, fit_intercept=True"
OrthogonalMatchingPursuit,"fit_intercept=True, n_nonzero_coefs=None, precompute=auto, tol=None"
Lars,"copy_X=True, eps=2.220446049250313e-16, fit_intercept=True, fit_path=True, jitter=None"
LassoLars,alpha=1.0
SGDRegressor,"alpha=0.0001, average=False, early_stopping=False, epsilon=0.1, eta0=0.01"
KernelRidge,alpha=1.0
DecisionTreeRegressor,"max_depth=10, min_samples_split=2, min_samples_leaf=1"
RandomForestRegressor,"n_estimators=200, max_depth=15, min_samples_split=2, min_samples_leaf=1"
ExtraTreesRegressor,"n_estimators=200, max_depth=15, min_samples_split=2, min_samples_leaf=1"
GradientBoostingRegressor,"n_estimators=200, learning_rate=0.1, max_depth=5"
AdaBoostRegressor,"n_estimators=100, learning_rate=1.0"
KNeighborsRegressor,n_neighbors=5
SVR,"kernel=rbf, C=100, gamma=scale"
GaussianProcessRegressor,alpha=1e-10
XGBRegressor,"n_estimators=300, learning_rate=0.05, max_depth=7, subsample=None, colsample_bytree=None"
LGBMRegressor,"n_estimators=300, learning_rate=0.05, num_leaves=50, subsample=1.0, colsample_bytree=1.0"
CatBoostRegressor,"iterations=300, learning_rate=0.05, depth=8"
